	mntsa0	mntsa1	mntsa2	mntsa3	mntsa4	exps0	exps1	exps2	exps3	exps4
0	0.5262500047683716	0.5550000071525574	0.6650000214576721	0.6899999976158142	0.6600000262260437	4	2	2	2	2
1	0.5550000071525574	0.6650000214576721	0.6899999976158142	0.6600000262260437	0.512499988079071	2	2	2	2	3
2	0.6650000214576721	0.6899999976158142	0.6600000262260437	0.512499988079071	0.6200000047683716	2	2	2	3	2
3	0.6899999976158142	0.6600000262260437	0.512499988079071	0.6200000047683716	0.7599999904632568	2	2	3	2	2
4	0.6600000262260437	0.512499988079071	0.6200000047683716	0.7599999904632568	0.5350000262260437	2	3	2	2	2
5	0.512499988079071	0.6200000047683716	0.7599999904632568	0.5350000262260437	0.8399999737739563	3	2	2	2	4
6	0.6200000047683716	0.7599999904632568	0.5350000262260437	0.8399999737739563	0.5400000214576721	2	2	2	4	2
7	0.7599999904632568	0.5350000262260437	0.8399999737739563	0.5400000214576721	0.7749999761581421	2	2	4	2	2
8	0.5350000262260437	0.8399999737739563	0.5400000214576721	0.7749999761581421	0.6025000214576721	2	4	2	2	3
9	0.8399999737739563	0.5400000214576721	0.7749999761581421	0.6025000214576721	0.8262500166893005	4	2	2	3	4
10	0.5400000214576721	0.7749999761581421	0.6025000214576721	0.8262500166893005	0.5400000214576721	2	2	3	4	2
11	0.7749999761581421	0.6025000214576721	0.8262500166893005	0.5400000214576721	0.6600000262260437	2	3	4	2	2
12	0.6025000214576721	0.8262500166893005	0.5400000214576721	0.6600000262260437	0.5737500190734863	3	4	2	2	4
13	0.8262500166893005	0.5400000214576721	0.6600000262260437	0.5737500190734863	0.8575000166893005	4	2	2	4	3
14	0.5400000214576721	0.6600000262260437	0.5737500190734863	0.8575000166893005	0.5450000166893005	2	2	4	3	2
15	0.6600000262260437	0.5737500190734863	0.8575000166893005	0.5450000166893005	0.7493749856948853	2	4	3	2	5
16	0.5737500190734863	0.8575000166893005	0.5450000166893005	0.7493749856948853	0.7875000238418579	4	3	2	5	5
17	0.8575000166893005	0.5450000166893005	0.7493749856948853	0.7875000238418579	0.721875011920929	3	2	5	5	6
18	0.5450000166893005	0.7493749856948853	0.7875000238418579	0.721875011920929	0.5274999737739563	2	5	5	6	3
19	0.7493749856948853	0.7875000238418579	0.721875011920929	0.5274999737739563	0.625	5	5	6	3	2
20	0.7875000238418579	0.721875011920929	0.5274999737739563	0.625	0.6850000023841858	5	6	3	2	4
21	0.721875011920929	0.5274999737739563	0.625	0.6850000023841858	0.9350000023841858	6	3	2	4	2
